Id,label
0,1
1,0
2,1
3,0
4,1
5,1
6,0
7,1
8,1
9,0
10,1
11,1
12,1
13,0
14,1
15,1
16,0
17,1
18,0
19,0
20,1
21,1
22,1
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,0
32,1
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,1
44,0
45,1
46,1
47,0
48,0
49,1
50,0
51,1
52,1
53,0
54,0
55,0
56,0
57,1
58,1
59,1
60,0
61,1
62,0
63,0
64,1
65,1
66,0
67,0
68,0
69,0
70,1
71,0
72,1
73,0
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,1
82,0
83,1
84,1
85,0
86,1
87,1
88,1
89,1
90,1
91,0
92,0
93,1
94,0
95,1
96,0
97,1
98,0
99,1
100,0
101,0
102,1
103,0
104,0
105,1
106,0
107,0
108,0
109,1
110,1
111,1
112,0
113,1
114,0
115,1
116,0
117,1
118,0
119,0
120,0
121,1
122,1
123,1
124,0
125,1
126,0
127,1
128,1
129,0
130,0
131,1
132,1
133,1
134,1
135,0
136,0
137,0
138,1
139,0
140,1
141,1
142,1
143,0
144,1
145,1
146,0
147,0
148,0
149,1
150,0
151,0
152,1
153,1
154,0
155,0
156,1
157,1
158,1
159,1
160,0
161,1
162,0
163,0
164,0
165,0
166,0
167,1
168,1
169,1
170,1
171,1
172,0
173,0
174,1
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,1
184,0
185,1
186,1
187,0
188,0
189,0
190,1
191,0
192,0
193,1
194,0
195,0
196,1
197,0
198,0
199,0
200,0
201,0
202,1
203,1
204,0
205,0
206,0
207,1
208,0
209,1
210,1
211,0
212,1
213,1
214,1
215,0
216,0
217,1
218,1
219,1
220,0
221,0
222,1
223,0
224,1
225,0
226,1
227,0
228,1
229,1
230,0
231,1
232,0
233,0
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,0
242,0
243,1
244,1
245,1
246,1
247,1
248,0
249,1
250,1
251,0
252,1
253,0
254,0
255,0
256,1
257,0
258,0
259,1
260,1
261,0
262,1
263,1
264,0
265,0
266,0
267,0
268,1
269,0
270,1
271,1
272,1
273,0
274,1
275,0
276,1
277,1
278,1
279,1
280,0
281,0
282,1
283,1
284,0
285,0
286,0
287,1
288,1
289,0
290,0
291,1
292,1
293,0
294,1
295,1
296,1
297,0
298,1
299,1
300,1
301,0
302,1
303,1
304,0
305,1
306,0
307,0
308,0
309,1
310,0
311,0
312,1
313,0
314,1
315,1
316,0
317,1
318,1
319,1
320,0
321,0
322,1
323,0
324,0
325,1
326,0
327,1
328,1
329,1
330,0
331,1
332,1
333,0
334,0
335,0
336,1
337,1
338,0
339,0
340,0
341,1
342,0
343,1
344,0
345,0
346,0
347,0
348,1
349,0
350,1
351,0
352,1
353,1
354,0
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,0
363,1
364,0
365,0
366,1
367,0
368,0
369,1
370,1
371,1
372,0
373,1
374,0
375,1
376,1
377,1
378,0
379,0
380,0
381,1
382,1
383,1
384,1
385,0
386,1
387,1
388,0
389,1
390,0
391,0
392,0
393,0
394,0
395,1
396,1
397,0
398,0
399,1
400,1
401,1
402,1
403,0
404,0
405,1
406,1
407,0
408,1
409,0
410,0
411,1
412,1
413,0
414,1
415,1
416,1
417,0
418,0
419,1
420,1
421,1
422,0
423,1
424,0
425,1
426,0
427,1
428,0
429,0
430,1
431,1
432,0
433,1
434,1
435,0
436,0
437,0
438,1
439,1
440,0
441,0
442,1
443,0
444,1
445,1
446,0
447,0
448,1
449,0
450,1
451,0
452,0
453,0
454,1
455,1
456,0
457,0
458,0
459,0
460,1
461,0
462,1
463,1
464,1
465,0
466,0
467,0
468,0
469,0
470,1
471,0
472,0
473,1
474,1
475,1
476,1
477,1
478,1
479,0
480,1
481,0
482,0
483,1
484,0
485,0
486,1
487,0
488,1
489,0
490,1
491,0
492,0
493,0
494,1
495,0
496,0
497,0
498,0
499,0
500,0
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,0
511,0
512,0
513,1
514,0
515,1
516,0
517,1
518,1
519,0
520,0
521,0
522,0
523,0
524,1
525,0
526,1
527,0
528,1
529,1
530,0
531,0
532,1
533,1
534,0
535,1
536,0
537,0
538,0
539,1
540,0
541,1
542,0
543,1
544,1
545,1
546,1
547,0
548,0
549,1
550,0
551,1
552,1
553,0
554,0
555,0
556,0
557,0
558,0
559,1
560,1
561,0
562,0
563,1
564,0
565,0
566,1
567,0
568,0
569,1
570,1
571,1
572,1
573,0
574,0
575,0
576,0
577,1
578,0
579,1
580,0
581,0
582,1
583,1
584,0
585,1
586,1
587,0
588,0
589,0
590,1
591,1
592,1
593,1
594,0
595,1
596,0
597,1
598,0
599,0
600,1
601,1
602,0
603,1
604,1
605,0
606,1
607,0
608,0
609,1
610,1
611,0
612,0
613,0
614,0
615,1
616,1
617,0
618,0
619,0
620,1
621,0
622,1
623,1
624,0
625,1
626,1
627,0
628,0
629,1
630,1
631,0
632,0
633,0
634,1
635,1
636,0
637,0
638,1
639,1
640,1
641,0
642,0
643,1
644,0
645,1
646,0
647,1
648,1
649,0
650,1
651,1
652,0
653,1
654,1
655,1
656,1
657,0
658,1
659,0
660,1
661,1
662,1
663,0
664,1
665,0
666,1
667,0
668,0
669,0
670,0
671,1
672,1
673,0
674,0
675,1
676,1
677,1
678,1
679,0
680,1
681,1
682,0
683,1
684,0
685,1
686,0
687,1
688,1
689,0
690,0
691,0
692,1
693,0
694,0
695,1
696,1
697,1
698,0
699,0
700,0
701,0
702,1
703,1
704,1
705,1
706,1
707,0
708,0
709,1
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,1
721,0
722,0
723,0
724,0
725,0
726,0
727,1
728,0
729,1
730,0
731,1
732,0
733,1
734,1
735,1
736,0
737,0
738,1
739,0
740,1
741,0
742,0
743,0
744,0
745,0
746,0
747,1
748,0
749,1
750,1
751,1
752,0
753,1
754,0
755,0
756,0
757,0
758,0
759,1
760,1
761,1
762,1
763,1
764,0
765,1
766,1
767,0
768,1
769,1
770,0
771,0
772,0
773,0
774,0
775,1
776,1
777,0
778,1
779,0
780,0
781,1
782,1
783,0
784,1
785,0
786,1
787,1
788,1
789,0
790,0
791,1
792,1
793,0
794,0
795,0
796,0
797,0
798,1
799,0
800,0
801,1
802,0
803,1
804,0
805,1
806,0
807,0
808,0
809,1
810,1
811,1
812,0
813,1
814,0
815,0
816,0
817,0
818,1
819,1
820,0
821,0
822,1
823,0
824,0
825,1
826,0
827,1
828,1
829,0
830,0
831,0
832,0
833,0
834,1
835,0
836,0
837,1
838,0
839,0
840,0
841,0
842,1
843,0
844,0
845,1
846,1
847,1
848,0
849,1
850,0
851,0
852,1
853,0
854,1
855,1
856,0
857,0
858,1
859,1
860,1
861,0
862,0
863,1
864,1
865,1
866,0
867,0
868,1
869,1
870,1
871,0
872,0
873,0
874,0
875,1
876,0
877,1
878,0
879,0
880,1
881,1
882,1
883,0
884,1
885,1
886,1
887,1
888,1
889,0
890,1
891,1
892,0
893,1
894,1
895,0
896,0
897,0
898,1
899,0
900,0
901,0
902,1
903,1
904,1
905,1
906,1
907,1
908,1
909,0
910,0
911,1
912,0
913,0
914,0
915,0
916,0
917,1
918,0
919,0
920,1
921,1
922,0
923,0
924,1
925,0
926,1
927,0
928,0
929,0
930,1
931,0
932,0
933,0
934,0
935,0
936,1
937,1
938,1
939,0
940,1
941,1
942,1
943,0
944,1
945,0
946,1
947,1
948,0
949,0
950,0
951,0
952,1
953,1
954,0
955,0
956,1
957,0
958,1
959,1
960,0
961,0
962,0
963,0
964,1
965,1
966,1
967,1
968,1
969,1
970,0
971,0
972,1
973,0
974,1
975,0
976,0
977,0
978,0
979,1
980,1
981,1
982,1
983,1
984,0
985,0
986,1
987,1
988,1
989,1
990,1
991,1
992,0
993,1
994,0
995,1
996,1
997,0
998,0
999,0
1000,1
1001,1
1002,1
1003,1
1004,0
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,0
1012,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,0
1020,0
1021,1
1022,1
1023,0
1024,0
1025,1
1026,1
1027,1
1028,0
1029,0
1030,1
1031,1
1032,0
1033,0
1034,1
1035,1
1036,0
1037,1
1038,1
1039,1
1040,1
1041,1
1042,0
1043,0
1044,1
1045,1
1046,0
1047,0
1048,0
1049,0
1050,1
1051,0
1052,0
1053,1
1054,0
1055,0
1056,0
1057,0
1058,1
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,1
1066,0
1067,1
1068,1
1069,0
1070,0
1071,1
1072,0
1073,0
1074,0
1075,0
1076,0
1077,1
1078,0
1079,0
1080,0
1081,0
1082,1
1083,1
1084,1
1085,1
1086,1
1087,0
1088,0
1089,1
1090,1
1091,0
1092,1
1093,0
1094,0
1095,0
1096,1
1097,1
1098,0
1099,1
1100,1
1101,0
1102,0
1103,1
1104,0
1105,0
1106,0
1107,1
1108,1
1109,0
1110,1
1111,1
1112,0
1113,0
1114,0
1115,0
1116,1
1117,1
1118,1
1119,0
1120,0
1121,1
1122,1
1123,1
1124,1
1125,0
1126,0
1127,1
1128,1
1129,1
1130,1
1131,0
1132,1
1133,1
1134,1
1135,1
1136,1
1137,1
1138,0
1139,1
1140,1
1141,0
1142,0
1143,0
1144,0
1145,1
1146,1
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,1
1156,1
1157,1
1158,0
1159,1
1160,1
1161,0
1162,0
1163,1
1164,1
1165,0
1166,1
1167,1
1168,0
1169,0
1170,1
1171,0
1172,1
1173,1
1174,0
1175,1
1176,1
1177,0
1178,1
1179,0
1180,1
1181,0
1182,0
1183,0
1184,1
1185,1
1186,1
1187,0
1188,0
1189,1
1190,1
1191,1
1192,0
1193,1
1194,0
1195,1
1196,0
1197,0
1198,1
1199,1
1200,0
1201,1
1202,1
1203,1
1204,0
1205,0
1206,0
1207,0
1208,1
1209,0
1210,1
1211,0
1212,0
1213,1
1214,1
1215,0
1216,0
1217,0
1218,1
1219,0
1220,0
1221,0
1222,1
1223,1
1224,1
1225,1
1226,0
1227,0
1228,1
1229,1
1230,0
